 GRB	  Tel  Yr   Mo     Dat      Days    Freq      Fl      rms   Ref
 970508   VLA  1997 Aug.    5.35   88.45    4.86     550.      61.  fwk00 
 970508   VLA  1997 Aug.    5.35   88.45    8.46     445.      50.  fwk00 
 970508   VLA  1997 Aug.    7.23   90.33    4.86     515.      37.  fwk00 
 970508   VLA  1997 Aug.    7.23   90.33    8.46     430.      39.  fwk00 
 970508   VLA  1997 Aug.   11.26   94.36    4.86     615.      37.  fwk00 
 970508   VLA  1997 Aug.   11.26   94.36    8.46     640.      40.  fwk00 
 970508  PdBI  1997 Aug.   13.04   96.14   86.55     140.     380.  bkg+98
 970508  WSRT  1997 Aug.   14.20   97.30    1.40     220.     210.  gwb+98
 970508   VLA  1997 Aug.   15.13   98.23    4.86     770.      57.  fwk00 
 970508   VLA  1997 Aug.   15.13   98.23    8.46     565.      49.  fwk00 
 970508  WSRT  1997 Aug.   16.25   99.35    1.40     140.     100.  gwb+98
 970508   VLA  1997 Aug.   16.62   99.72    4.86     610.      55.  fwk00 
 970508   VLA  1997 Aug.   16.62   99.72    8.46     400.      60.  fwk00 
 970508  WSRT  1997 Aug.   17.28  100.38    1.40     170.      80.  gwb+98
 970508  WSRT  1997 Aug.   18.23  101.33    1.40      80.     100.  gwb+98
 970508   VLA  1997 Aug.   18.95  102.05    4.86     500.      42.  fwk00 
 970508   VLA  1997 Aug.   18.95  102.05    8.46     300.      35.  fwk00 
 970508   VLA  1997 Aug.   19.02  102.11    1.43     250.      70.  fwk00 
 970508  WSRT  1997 Aug.   20.30  103.40    1.40     250.      80.  gwb+98
 970508  WSRT  1997 Aug.   22.23  105.33    1.40     200.      90.  gwb+98
 970508   VLA  1997 Aug.   22.50  105.60    4.86     710.      52.  fwk00 
 970508   VLA  1997 Aug.   22.50  105.60    8.46     470.      44.  fwk00 
 970508   VLA  1997 Aug.   22.52  105.62    1.43     230.      59.  fwk00 
 970508  WSRT  1997 Aug.   29.17  112.27    1.40     480.     120.  gwb+98
 970508   VLA  1997 Aug.   31.82  114.92    8.46     315.      70.  fwk00 
 970508  WSRT  1997 Sep.    1.17  115.27    1.40      80.     100.  gwb+98
 970508   VLA  1997 Sep.    3.45  117.55    4.86     425.      57.  fwk00 
 970508   VLA  1997 Sep.    3.45  117.55    8.46     355.      47.  fwk00 
 970508   VLA  1997 Sep.    3.47  117.56    1.43     206.      63.  fwk00 
 970508   VLA  1997 Sep.    4.71  118.81    8.46     370.      70.  fwk00 
 970508   VLA  1997 Sep.    8.40  122.50    8.46     350.      47.  fwk00 
 970508   VLA  1997 Sep.    8.42  122.51    1.43     216.      67.  fwk00 
 970508  WSRT  1997 Sep.    9.22  123.32    1.40     360.      90.  gwb+98
 970508   VLA  1997 Sep.   12.64  126.74    4.86     400.      41.  fwk00 
 970508   VLA  1997 Sep.   12.64  126.74    8.46     370.      39.  fwk00 
 970508   VLA  1997 Sep.   12.68  126.78    1.43     333.      65.  fwk00 
 970508  WSRT  1997 Sep.   23.22  137.32    1.40     260.     100.  gwb+98
 970508   VLA  1997 Sep.   26.35  140.45    1.43     -99.      83.  fwk00 
 970508   VLA  1997 Sep.   26.36  140.46    4.86     380.      40.  fwk00 
 970508   VLA  1997 Sep.   26.36  140.46    8.46     330.      45.  fwk00 
 970508   VLA  1997 Oct.    4.62  148.72    4.86     420.      44.  fwk00 
 970508   VLA  1997 Oct.    4.62  148.72    8.46     310.      56.  fwk00 
 970508   VLA  1997 Oct.    4.63  148.73    1.43     217.     105.  fwk00 
 970508   VLA  1997 Oct.   13.22  157.32    1.43     381.     127.  fwk00 
 970508   VLA  1997 Oct.   13.23  157.33    4.86     350.      40.  fwk00 
 970508   VLA  1997 Oct.   13.23  157.33    8.46     280.      37.  fwk00 
 970508   VLA  1997 Oct.   21.39  165.48    1.43     250.      66.  fwk00 
 970508   VLA  1997 Oct.   21.40  165.50    4.86     300.      34.  fwk00 
 970508   VLA  1997 Oct.   21.40  165.50    8.46     240.      34.  fwk00 
 970508   VLA  1997 Oct.   26.56  170.66    4.86     280.      31.  fwk00 
 970508   VLA  1997 Oct.   26.56  170.66    8.46     300.      37.  fwk00 
 970508   VLA  1997 Nov.    6.19  181.29    4.86     385.      32.  fwk00 
 970508   VLA  1997 Nov.    6.19  181.29    8.46     240.      24.  fwk00 
 970508   VLA  1997 Nov.    8.09  183.19    1.43     338.      63.  fwk00 
 970508   VLA  1997 Nov.   11.33  186.42    1.43     497.      51.  fwk00 
 970508   VLA  1997 Nov.   13.97  189.06    1.43     376.      93.  fwk00 
 970508   VLA  1997 Nov.   17.65  192.75    1.43     -99.      93.  fwk00 
 970508   VLA  1997 Nov.   19.15  194.25    4.86     325.      37.  fwk00 
 970508   VLA  1997 Nov.   19.15  194.25    8.46     240.      30.  fwk00 
 970508   VLA  1997 Nov.   19.46  194.55    1.43     303.      53.  fwk00 
 970508   VLA  1997 Nov.   22.46  197.56    1.43     199.      62.  fwk00 
 970508   VLA  1997 Nov.   23.05  198.14    1.43     271.      74.  fwk00 
 970508   VLA  1997 Nov.   24.96  200.05    1.43     208.      77.  fwk00 
 970508   VLA  1997 Nov.   26.17  201.26    1.43     155.      43.  fwk00 
 970508   VLA  1997 Nov.   27.12  202.21    1.43     170.      50.  fwk00 
 970508   VLA  1997 Nov.   28.40  203.50    1.43     -99.      62.  fwk00 
 970508   VLA  1997 Nov.   30.32  205.42    1.43     184.      42.  fwk00 
 970508   VLA  1997  Dec    1.40  206.49    1.43     -99.      71.  fwk00 
 970508   VLA  1997  Dec    6.65  211.75    1.43     -99.      68.  fwk00 
 970508   VLA  1997 Dec.    9.14  214.24    4.86     180.      35.  fwk00 
 970508   VLA  1997 Dec.    9.14  214.24    8.46     170.      30.  fwk00 
 970508   VLA  1997  Dec   11.16  216.25    1.43     -99.      64.  fwk00 
 970508   VLA  1998 Jan.    2.08  238.18    4.86     220.      35.  fwk00 
 970508   VLA  1998 Jan.    2.08  238.18    8.46     160.      30.  fwk00 
 970508   VLA  1998 Jan.   18.90  255.00    4.86     275.      53.  fwk00 
 970508   VLA  1998 Jan.   20.98  257.08    4.86     235.      41.  fwk00 
 970508   VLA  1998 Jan.   20.98  257.08    8.46     150.      36.  fwk00 
 970508   VLA  1998 Jan.   27.77  263.87    4.86     220.      50.  fwk00 
 970508   VLA  1998 Jan.   27.77  263.87    8.46     -99.      50.  fwk00 
 970508   VLA  1998 Jan.   31.29  267.39    4.86     -99.      80.  fwk00 
 970508   VLA  1998 Jan.   31.29  267.39    8.46     -99.      50.  fwk00 
 970508   VLA  1998 Feb.    8.04  275.14    4.86     200.      24.  fwk00 
 970508   VLA  1998 Feb.    8.04  275.14    8.46      95.      24.  fwk00 
 970508   VLA  1998 Feb.   23.44  290.53    1.43     274.      27.  fwk00 
 970508   VLA  1998 Mar.   14.09  309.19    4.86     165.      17.  fwk00 
 970508   VLA  1998 Mar.   14.09  309.19    8.46     105.      15.  fwk00 
 970508   VLA  1998 Mar.   18.06  313.16    1.43     434.      24.  fwk00 
 970508   VLA  1998 Apr.   27.66  353.76    1.43     249.      60.  fwk00 
 970508   VLA  1998  May    2.52  358.62    1.43     204.      30.  fwk00 
 970508   VLA  1998  May   13.52  369.62    4.86     125.      28.  fwk00 
 970508   VLA  1998  May   13.52  369.62    8.46     -99.      25.  fwk00 
 970508   VLA  1998 Jun.   21.83  408.93    4.86     104.      44.  fwk00 
 970508   VLA  1998 Jun.   21.83  408.93    8.46     -99.      37.  fwk00 
 970508   VLA  1998 Jul.   19.80  436.89    1.43     -99.      32.  fwk00 
 970508   VLA  1998 Jul.   28.73  445.83    1.43     -99.      33.  fwk00 
 970508   VLA  2000 Sep.    5.28 1215.38    8.46       8.      19.  fkbw03
 970616   VLA  1997 Jun.   19.48    2.72    1.43     -99.     100.  fkbw03
 970616   VLA  1997 Jun.   19.48    2.72    4.86     -99.      50.  fkbw03
